iter	Logloss
0	0.6731316533
1	0.6520481459
2	0.6330744014
3	0.61693207
4	0.6025752507
5	0.5858439924
6	0.573348326
7	0.5602658253
8	0.548648553
9	0.5382209871
10	0.5257193796
11	0.5143471014
12	0.5046224666
13	0.4945328565
14	0.4878755144
15	0.4790836295
16	0.4723088415
17	0.4669952696
18	0.4610212996
19	0.4545393779
20	0.4491861499
21	0.4430866876
22	0.4390859865
23	0.4341652352
24	0.4289641403
25	0.4231219234
26	0.419377892
27	0.4143297962
28	0.4097619317
29	0.4057276262
30	0.4016182754
31	0.3985645475
32	0.3950347714
33	0.3917640528
34	0.3882071429
35	0.3854608923
36	0.3826470974
37	0.3797813826
38	0.3775560188
39	0.3751715293
40	0.3731842377
41	0.3713008487
42	0.3697418022
43	0.3688162468
44	0.3669177335
45	0.3657324493
46	0.3638486569
47	0.3626615331
48	0.3615810518
49	0.3600360019
50	0.358256941
51	0.3568726793
52	0.3556334181
53	0.3546062459
54	0.3534067555
55	0.3524382417
56	0.3510801266
57	0.349679942
58	0.348991255
59	0.3474849214
60	0.3466839631
61	0.3454241963
62	0.3444927309
63	0.3436811994
64	0.3423340163
65	0.3418319672
66	0.3411311394
67	0.3404975568
68	0.339988168
69	0.339265449
70	0.338372015
71	0.3377001986
72	0.3371554357
73	0.33617983
74	0.335947539
75	0.3350788165
76	0.3342481613
77	0.3337138696
78	0.3332473118
79	0.3325158459
80	0.3322122247
81	0.331658345
82	0.3310717463
83	0.3305794958
84	0.330021051
85	0.3294954935
86	0.3290780805
87	0.3288393793
88	0.3281481246
89	0.3274154694
90	0.3265879534
91	0.3258661986
92	0.3253140975
93	0.3249867819
94	0.3247391499
95	0.3244966154
96	0.3240950512
97	0.3232881422
98	0.322742514
99	0.3222980939
100	0.3220669102
101	0.321739033
102	0.3214894887
103	0.320971286
104	0.3206612107
105	0.3203231441
106	0.3200911438
107	0.3200196
108	0.3192803111
109	0.3185370251
110	0.3183347653
111	0.3178152023
112	0.3174557194
113	0.3171188132
114	0.3166854252
115	0.3162778215
116	0.3159951257
117	0.3159633974
118	0.3155511612
119	0.315054769
120	0.3147259039
121	0.3141632185
122	0.3134954821
123	0.312960843
124	0.3125805141
125	0.3120972551
126	0.3117602605
127	0.3110006313
128	0.3106122522
129	0.3105496176
130	0.3101243547
131	0.3095243442
132	0.3094020304
133	0.3093088497
134	0.3089832578
135	0.3086428812
136	0.3084009083
137	0.3079443653
138	0.3073177252
139	0.3073122417
140	0.3071370958
141	0.3068028247
142	0.3064890988
143	0.3061686911
144	0.3058391829
145	0.3055352012
146	0.3052280073
147	0.3047696493
148	0.3045371569
149	0.3038481232
150	0.3034173515
151	0.3031402628
152	0.3028700835
153	0.302572927
154	0.3021777666
155	0.3019554353
156	0.3015721562
157	0.2999019324
158	0.2995528963
159	0.2992708939
160	0.2988725392
161	0.2983997958
162	0.2980511191
163	0.297771702
164	0.2973385507
165	0.296918498
166	0.2965385682
167	0.2960835578
168	0.2958970106
169	0.2955495063
170	0.2952400958
171	0.2948679092
172	0.2946976254
173	0.2943859911
174	0.2939834176
175	0.2939833916
176	0.2938881811
177	0.29359906
178	0.2931346388
179	0.2927393716
180	0.2923968475
181	0.2918609629
182	0.2914710319
183	0.2910368516
184	0.2906769604
185	0.2903978592
186	0.2899583413
187	0.2895486057
188	0.2890970681
189	0.2887968476
190	0.2882540093
191	0.2878698821
192	0.2876676637
193	0.287527235
194	0.2870207174
195	0.2866556178
196	0.2863655334
197	0.2857233066
198	0.2855563795
199	0.2853004412
200	0.285089262
201	0.2845135281
202	0.2841971753
203	0.2838801402
204	0.2837364523
205	0.2834658199
206	0.283195248
207	0.2831107093
208	0.2828578667
209	0.2828217095
210	0.2825688563
211	0.2823479354
212	0.2822532198
213	0.2818226859
214	0.2814383834
215	0.2811379317
216	0.2807846225
217	0.2806234365
218	0.2800967143
219	0.2798955425
220	0.279414814
221	0.2791272536
222	0.2789297163
223	0.278682134
224	0.2784115571
225	0.2780308446
226	0.2775751783
227	0.2774207299
228	0.2772556354
229	0.2770293473
230	0.2766882897
231	0.2764581898
232	0.2762586552
233	0.2760447733
234	0.275606419
235	0.2752895113
236	0.2751198169
237	0.2746899712
238	0.274527195
239	0.2742531121
240	0.2739911258
241	0.2734099614
242	0.2732894008
243	0.2729344524
244	0.2727590986
245	0.2723584909
246	0.2720966911
247	0.2717774971
248	0.2715233146
249	0.2712849031
250	0.2709361069
251	0.2706939139
252	0.2702737158
253	0.2690320883
254	0.2688176516
255	0.2684378726
256	0.2683495092
257	0.2680030968
258	0.2677232921
259	0.2674144401
260	0.267103705
261	0.2670572273
262	0.2665366981
263	0.2662667109
264	0.2661559773
265	0.2659530492
266	0.2657145903
267	0.2652219981
268	0.2651304224
269	0.2647808725
270	0.2641328308
271	0.2637672181
272	0.2634156377
273	0.2633352718
274	0.2630151452
275	0.2627955877
276	0.2624846239
277	0.2622131602
278	0.2619789924
279	0.2615615933
280	0.2613037404
281	0.2609824518
282	0.2609256716
283	0.2608767242
284	0.260756576
285	0.2604575669
286	0.2603904142
287	0.2600123918
288	0.2596449481
289	0.2594192323
290	0.2588362937
291	0.2587877302
292	0.2587515698
293	0.2587095839
294	0.2584142907
295	0.2583067107
296	0.2582766372
297	0.2578615362
298	0.2573193216
299	0.2570833202
300	0.2569480237
301	0.2564664837
302	0.2564275816
303	0.2559924427
304	0.2556496738
305	0.255261627
306	0.2551333692
307	0.2545071519
308	0.2537821326
309	0.253217677
310	0.2527516381
311	0.2514943881
