iter	Passed	Remaining
0	1	753
1	3	749
2	5	738
3	7	765
4	8	708
5	10	708
6	12	714
7	14	725
8	16	719
9	17	695
10	19	695
11	21	692
12	23	690
13	25	712
14	27	702
15	29	710
16	33	765
17	37	794
18	39	789
19	41	792
20	43	791
21	48	829
22	50	826
23	52	826
24	54	821
25	56	810
26	58	802
27	59	792
28	61	786
29	62	776
30	64	768
31	66	762
32	67	755
33	69	751
34	72	754
35	73	747
36	75	740
37	77	736
38	78	731
39	80	727
40	82	724
41	83	715
42	86	714
43	87	706
44	95	755
45	97	750
46	99	744
47	100	737
48	103	738
49	104	734
50	106	730
51	108	724
52	110	723
53	112	719
54	114	715
55	115	710
56	117	705
57	119	702
58	120	698
59	123	697
60	124	693
61	126	689
62	128	686
63	130	683
64	131	679
65	134	678
66	136	676
67	137	672
68	139	669
69	141	665
70	143	666
71	145	663
72	147	662
73	150	663
74	151	656
75	153	653
76	155	650
77	157	650
78	159	648
79	180	723
80	181	716
81	184	716
82	186	713
83	188	709
84	190	704
85	191	699
86	193	695
87	196	697
88	198	694
89	200	691
90	202	687
91	205	686
92	207	683
93	208	679
94	210	675
95	212	672
96	214	669
97	216	668
98	218	664
99	219	659
100	221	655
101	223	652
102	224	647
103	226	644
104	227	640
105	229	636
106	261	714
107	262	710
108	264	706
109	266	701
110	267	696
111	270	694
112	272	691
113	273	687
114	275	682
115	277	679
116	278	674
117	279	668
118	281	664
119	283	661
120	285	658
121	287	655
122	289	652
123	291	649
124	293	645
125	295	642
126	297	639
127	299	635
128	301	632
129	302	627
130	303	624
131	305	620
132	307	618
133	309	615
134	311	612
135	313	608
136	316	608
137	320	608
138	322	605
139	323	600
140	325	597
141	327	594
142	329	591
143	330	588
144	332	584
145	333	581
146	335	577
147	337	574
148	339	571
149	340	568
150	342	565
151	345	564
152	348	563
153	351	561
154	353	558
155	355	555
156	357	553
157	359	551
158	362	549
159	364	546
160	366	543
161	368	541
162	371	539
163	373	536
164	375	534
165	403	569
166	405	566
167	407	563
168	409	559
169	411	556
170	413	553
171	415	550
172	417	547
173	418	544
174	421	542
175	422	537
176	424	534
177	425	531
178	427	528
179	429	524
180	431	521
181	433	519
182	436	517
183	437	514
184	439	510
185	441	507
186	442	504
187	444	501
188	446	498
189	448	495
190	450	492
191	452	489
192	453	486
193	491	522
194	493	518
195	495	515
196	499	514
197	501	511
198	504	509
199	506	506
200	509	503
201	511	501
202	513	498
203	514	494
204	516	490
205	517	487
206	519	484
207	520	480
208	522	477
209	524	474
210	526	471
211	527	468
212	529	465
213	531	461
214	532	458
215	534	455
216	536	452
217	538	449
218	540	446
219	541	443
220	543	440
221	545	437
222	547	434
223	549	431
224	550	428
225	552	425
226	554	422
227	557	420
228	560	418
229	562	415
230	564	412
231	566	410
232	568	407
233	570	404
234	571	401
235	573	398
236	575	395
237	577	392
238	578	389
239	580	386
240	582	384
241	584	381
242	585	378
243	587	375
244	589	372
245	591	370
246	593	367
247	595	364
248	598	362
249	600	360
250	603	358
251	605	355
252	607	353
253	625	359
254	627	356
255	630	354
256	632	351
257	633	348
258	635	346
259	638	343
260	639	340
261	641	337
262	642	334
263	644	332
264	646	329
265	647	326
266	650	323
267	652	321
268	653	318
269	655	315
270	656	312
271	658	309
272	660	307
273	662	304
274	664	301
275	665	299
276	667	296
277	670	294
278	673	291
279	676	289
280	678	287
281	681	285
282	707	292
283	709	289
284	711	287
285	713	284
286	714	281
287	716	278
288	718	275
289	720	273
290	722	270
291	725	268
292	726	265
293	728	262
294	732	260
295	735	258
296	737	255
297	739	252
298	740	250
299	742	247
300	744	244
301	746	242
302	748	239
303	749	236
304	751	234
305	754	231
306	791	239
307	793	237
308	796	234
309	799	231
310	801	229
311	803	226
312	805	223
313	807	221
314	809	218
315	811	215
316	814	213
317	815	210
318	819	208
319	822	205
320	826	203
321	829	201
322	832	198
323	835	195
324	837	193
325	840	190
326	842	188
327	844	185
328	846	182
329	847	179
330	849	177
331	851	174
332	853	171
333	855	168
334	857	166
335	858	163
336	860	160
337	863	158
338	864	155
339	866	152
340	868	150
341	870	147
342	872	144
343	874	142
344	876	139
345	878	137
346	880	134
347	881	131
348	883	129
349	885	126
350	887	123
351	889	121
352	891	118
353	893	116
354	895	113
355	899	111
356	901	108
357	903	105
358	905	103
359	927	103
360	930	100
361	932	97
362	934	95
363	936	92
364	940	90
365	942	87
366	944	84
367	946	82
368	948	79
369	949	77
370	952	74
371	954	71
372	956	69
373	958	66
374	959	63
375	961	61
376	963	58
377	964	56
378	966	53
379	968	50
380	970	48
381	972	45
382	974	43
383	975	40
384	977	38
385	979	35
386	981	32
387	1003	31
388	1006	28
389	1008	25
390	1010	23
391	1012	20
392	1015	18
393	1017	15
394	1021	12
395	1024	10
396	1027	7
397	1029	5
398	1032	2
399	1035	0
